mu,sigma
1.52144,0.444722
1.69462,0.644737
1.36621,0.304286
2.12637,1.19198
1.89588,0.471837
1.04196,0.677644
2.17573,1.07313
1.29886,0.34257
1.24536,0.667969
1.11854,0.688476
1.08299,0.429367
1.54838,0.600685
0.0548704,2.78415
1.17638,0.837154
2.68122,1.8992
1.67777,0.493255
1.04935,0.61601
-0.0880112,1.37826
0.370895,0.491148
2.33539,1.48516
0.576476,1.61492
0.83319,0.826082
1.2468,0.60225
1.38868,0.164546
1.39439,0.083673
1.47382,0.0744535
1.58637,0.133084
1.58637,0.133084
1.14849,0.655677
1.70931,0.170417
1.81376,0.393554
1.46041,0.186373
1.49196,0.822873
1.41056,0.141943
1.20932,0.200842
0.887848,0.835692
0.421472,1.12156
0.689255,1.68851
2.37654,1.40156
0.302976,1.88746
-0.228584,1.65785
1.40982,0.847051
0.370717,0.703991
0.325378,1.13061
2.07082,0.516619
1.52086,0.787062
2.15846,1.09281
0.837769,0.381873
2.12464,0.699583
1.52379,0.338308
1.723,1.19214
1.2901,0.101874
1.35888,0.0881973
1.35888,0.0881973
1.35321,0.140651
0.234374,1.38517
1.41449,0.485454
2.04709,1.62794
4.26626,1.4348
1.45108,0.170865
1.37343,0.461235
1.17708,1.18834
0.925413,1.04601
0.814174,0.633241
5.93084,2.33989
2.28264,1.06253
1.04871,0.937939
1.44257,0.358617
0.87269,0.650379
1.32827,0.228143
2.94117,2.60665
1.38039,0.234282
1.5865,0.40593
2.19594,1.09334
3.09822,2.17972
1.04555,0.349877
4.12311,0.951937
0.159107,0.645111
1.21822,0.228467
1.09776,0.463406
1.35128,1.07726
0.656115,0.894536
2.02657,1.1676
1.49234,0.28038
1.51842,0.351741
1.42378,0.434942
2.85733,1.26468
1.4626,1.09713
1.30867,0.228524
1.87358,0.519571
1.45786,1.49492
0.471056,1.5747
1.09342,1.70505
-0.260626,2.0824
1.64391,0.232089
2.04487,0.229907
-0.0815999,2.49617
1.27325,0.898561
-0.493299,1.87126
1.40997,0.365569
1.32159,0.181345
1.36291,1.10819
1.41535,0.144953
1.37179,0.415668
1.35036,1.08576
3.86855,2.38884
0.695133,0.516555
1.60915,1.99441
1.14628,0.288753
1.31143,0.221206
1.2908,0.112774
1.39786,0.130054
-0.263636,1.23139
1.00935,0.177397
2.86519,1.66985
-0.126563,1.24085
1.39926,1.87602
1.30851,0.318808
1.50556,0.509111
3.22268,1.14435
0.814313,0.606022
-0.588782,1.18553
2.42227,0.292831
1.06806,0.690456
2.10617,0.660578
2.17697,0.436764
1.4938,0.848485
0.825297,2.68613
1.46471,0.225515
1.3331,0.293007
0.968861,1.73576
1.20115,0.48106
1.7498,0.975674
0.626333,0.51128
1.47498,0.184915
0.613219,0.732086
1.08611,0.259993
1.44979,0.572983
0.397855,1.08477
3.08609,0.907786
1.57755,0.12728
2.08644,1.06432
0.949592,0.832389
0.693751,1.23987
1.07659,0.19564
1.86388,0.569209
1.4841,0.114541
1.44531,0.102596
1.44531,0.102596
2.19312,1.09303
1.20993,0.152372
1.10265,0.851437
-1.31083,1.90564
2.62504,0.823235
1.54778,1.27272
1.46132,0.497036
1.51658,0.577629
1.01064,0.278899
1.24804,0.633827
1.57466,1.46108
1.30791,0.72673
1.65519,0.549215
1.36239,0.099105
1.36239,0.099105
1.36239,0.099105
1.38569,0.104943
1.46257,0.135541
1.43811,0.832348
0.512912,0.478902
5.11993,1.57138
1.62756,0.621145
1.16858,0.258114
1.4947,1.09182
1.72473,0.576396
0.0569026,1.55853
1.56675,0.64734
-0.347002,1.33136
1.499,0.321653
1.17288,0.344664
1.27803,1.02372
1.70298,0.201294
1.66144,0.853004
2.10861,0.780477
1.43033,0.115288
1.52664,0.254207
2.7181,1.64891
1.16633,0.165044
0.826516,0.514162
1.10128,0.190896
1.53666,0.398786
-1.49328,2.22056
1.457,0.337605
1.60208,0.498729
0.778821,0.903991
1.54313,0.826285
3.36667,2.44783
1.32208,0.306855
2.93966,0.579054
1.4299,0.544733
0.867679,1.47653
1.40939,0.485194
2.26961,0.479277
1.72646,0.595657
-1.18607,1.11704
2.98471,1.23763
-0.321971,1.15901
4.27905,2.33516
1.19556,0.447691
1.57696,0.395453
1.96207,1.37047
1.42544,0.480623
1.38632,0.147099
1.42009,0.149919
1.40669,0.304794
0.735983,0.558561
1.36335,0.49597
0.506588,1.11861
3.25671,1.37556
1.12525,0.775824
1.13808,1.07955
1.97312,0.614677
1.18398,1.02592
1.57432,0.566352
0.922401,0.43368
1.10544,0.461662
1.46296,0.0872254
1.46296,0.0872254
1.46296,0.0872254
1.33995,0.183635
1.48417,0.0957732
1.48417,0.0957732
1.48417,0.0957732
2.11537,1.44756
1.12059,0.70184
2.37315,0.663555
1.09908,0.355243
1.18948,0.565513
1.09648,0.724461
2.19664,1.02865
1.38002,0.689052
1.3446,0.205374
-1.27659,1.73565
1.31584,0.851389
1.02438,0.691036
0.649841,0.945033
0.420707,1.06904
2.60466,0.975903
1.42837,0.162191
-0.0887388,0.982398
-0.712594,1.29967
1.48376,0.266623
0.908187,0.484385
1.58714,1.30814
1.27688,0.319836
2.43417,2.13874
1.8194,1.14484
1.21822,0.175789
1.4914,0.388981
-2.07797,1.91729
1.91725,1.66508
1.55226,0.233276
1.6986,0.412001
1.58841,0.209008
1.64548,0.593175
1.27622,0.656737
1.36651,0.21162
1.79018,1.56846
2.37463,0.676268
1.23109,0.274488
1.68333,1.20813
2.71632,1.3177
1.4168,1.39571
1.61521,0.273972
0.142182,1.26358
1.1242,1.11052
1.0463,0.496476
1.34502,0.229496
-0.793232,2.21792
1.36088,0.190297
1.32057,0.103338
1.32057,0.103338
1.36722,0.67528
2.79985,1.33144
1.60879,0.241383
1.82921,1.15031
0.890444,0.763843
1.3954,0.860201
1.22795,0.648073
1.04327,0.302885
1.71403,0.573552
1.46286,0.777767
1.40032,0.337368
1.77488,1.33511
-0.0692089,1.09376
1.76489,0.583971
0.969858,0.590341
2.50729,1.81954
1.54885,0.21628
1.58934,0.407601
1.42726,1.10314
1.3868,1.04042
1.88529,0.43079
2.97765,2.36358
1.24256,0.206347
1.54436,0.138999
1.30146,0.242962
0.662963,1.11563
1.95017,0.64918
0.810467,0.34951
1.69315,0.210919
1.03609,0.346236
1.32386,1.07752
0.982082,1.65503
1.36457,0.17075
1.69023,0.933085
1.56063,0.600856
0.202387,0.825245
2.27466,1.33317
1.22558,2.10563
4.19378,1.64445
3.16657,0.81077
2.64566,0.889107
2.62208,0.834381
0.39983,0.340281
2.0325,1.67664
1.61871,0.334315
1.65541,1.09801
-1.01818,1.40672
-1.21207,1.17306
0.978509,0.596258
-0.388459,1.42784
1.98975,0.493122
1.49441,0.946814
0.826617,1.63738
0.516954,0.718701
0.793254,0.537538
0.973278,0.567626
2.20635,0.541648
1.05635,0.457726
-0.0483856,1.66872
0.854025,0.668156
1.41464,0.0872711
0.406314,0.830625
2.77136,1.56913
1.19373,0.136045
1.19373,0.136045
1.25727,0.132031
1.25727,0.132031
1.5962,0.160847
1.45481,0.138503
0.794768,0.407013
1.58014,0.338302
1.00434,0.549351
1.84314,0.684799
0.686645,0.912391
1.59648,0.382748
0.513766,0.739281
2.57347,1.52498
1.37316,0.126287
1.37316,0.126287
1.29983,0.126317
1.21659,0.165598
1.27185,2.31402
1.9037,0.568666
1.42839,0.228399
1.56651,0.389853
1.26727,0.55452
-2.07414,1.94784
0.440429,0.693052
1.35577,0.834463
1.78413,0.437848
-0.0790693,1.74022
1.88524,2.79902
1.13035,0.424587
-0.328657,2.48261
1.84587,0.693096
0.836891,0.561156
1.01699,0.444146
1.97925,1.29089
2.0623,0.576736
0.0660188,0.696789
1.82296,1.44129
2.56854,0.987281
1.3956,0.616458
1.46697,0.832101
0.896198,0.604748
1.56599,0.768355
1.41925,0.328063
2.48179,1.24216
1.14291,0.823187
1.43203,0.744136
1.82099,0.409005
1.50525,0.109233
1.50525,0.109233
1.50525,0.109233
1.43489,0.0723454
1.4283,0.0914005
-1.72994,1.77049
1.15627,0.793024
0.415114,0.870433
1.56333,0.140247
1.56333,0.140247
2.14375,0.395006
-0.154474,1.74997
1.25109,0.179698
2.10799,1.12009
2.50496,1.11166
1.1391,0.259975
1.29408,1.12201
3.50712,3.34671
1.37326,0.257237
0.556333,1.22973
1.25894,0.944303
1.91132,0.737915
1.99639,1.38053
1.81703,0.586656
0.864933,0.785249
1.54467,0.204268
1.318,0.663425
1.60435,0.513997
1.3876,1.57662
-0.0715642,1.34087
1.89875,0.448621
1.72975,0.240323
2.36084,0.92658
0.521306,2.50082
2.58399,1.10515
1.10193,0.581744
2.2684,1.52269
1.1145,1.29464
1.43791,0.402103
1.74537,0.372275
0.61749,0.427385
1.07611,0.649955
-2.03074,1.76589
1.3458,0.508182
1.27273,0.337224
2.3448,0.767872
3.56256,1.48174
1.29481,0.816383
1.62746,0.34228
1.2965,0.21545
1.96996,0.552111
-0.151796,1.00346
1.17354,1.94941
2.4418,0.99495
1.73184,0.886231
0.0152979,0.973601
1.35766,0.334885
1.34497,0.12319
1.34497,0.12319
1.34497,0.12319
1.38887,0.115549
0.406227,1.18095
1.39387,0.645876
2.29573,1.43189
1.28387,0.813161
1.07304,1.58765
2.15876,0.94466
0.196966,1.78542
1.05239,0.674841
1.14144,1.25619
1.42736,0.355892
1.56084,0.877449
1.38226,0.617424
1.9888,0.723529
1.10808,0.337923
1.16534,0.356605
1.91544,0.294738
1.35144,0.21101
2.3444,0.786644
-0.231123,1.11013
0.890681,0.79243
2.67359,1.59143
1.62853,0.141153
1.34992,0.244115
1.45768,0.175854
1.54905,1.5308
0.551973,1.23584
1.94286,0.364846
0.637342,0.816714
1.06971,0.456301
1.33853,0.124775
1.80418,0.2363
3.10049,1.09841
1.04516,0.560944
2.29124,0.530471
1.74912,0.502229
0.614511,0.369173
2.13496,0.760322
1.50444,0.639449
2.2838,0.662386
1.79951,0.718683
-0.883517,1.68174
1.36195,1.25731
1.64488,0.224029
0.951323,1.17786
1.29112,1.08553
3.54561,2.25788
2.06903,1.06009
-0.428221,1.31994
0.618081,1.00559
2.30909,1.04867
0.124989,1.36236
1.52902,0.977638
0.227729,1.093
1.44141,0.805282
1.56364,0.305034
1.20989,1.38773
0.460622,1.93517
1.50241,0.305232
0.856429,0.333368
2.18723,1.04778
1.27185,0.422471
2.62712,0.727043
2.74628,0.553094
1.97523,0.800889
1.21671,1.15592
1.5834,0.809112
1.45352,0.252338
1.0882,0.883993
1.69885,1.50801
1.96487,1.72634
1.56765,0.515777
0.888937,0.597759
2.30006,1.05234
0.413392,0.853628
1.08301,0.299444
0.249598,1.25771
1.02587,0.378296
1.40138,0.838268
1.12752,0.468047
0.861584,0.997753
0.18849,1.69676
1.28856,0.303618
0.379703,0.810083
1.43506,0.33287
-1.496,1.80285
1.77203,1.05918
-1.25772,1.32081
1.16919,0.182045
2.62351,1.02245
-0.200563,1.41715
2.55751,0.615124
1.8765,1.27102
1.63979,0.518463
1.83169,0.983695
0.838774,0.808577
1.323,0.324646
1.48383,1.61927
1.79503,0.317037
1.46077,0.284239
3.48023,1.75556
1.53095,0.195382
-0.413524,1.9239
1.45566,0.743197
0.59374,0.489979
-0.62114,1.38697
1.26677,1.28793
1.77978,2.17425
2.65026,0.777278
0.243819,1.07932
1.53953,0.160802
1.43881,0.154601
0.132673,1.15331
2.19342,0.758603
1.45205,0.29356
1.39112,0.375297
1.9809,1.54033
1.43978,0.656394
1.26042,0.618578
1.29593,0.441842
0.497083,1.21098
1.35689,0.45787
1.51157,0.207729
1.3621,0.152875
1.65996,0.264495
1.56885,1.17763
1.21145,0.356521
0.833042,0.591467
1.87587,0.568266
0.954808,0.848289
1.78323,0.526945
-1.75646,1.48294
-0.249178,0.855834
-0.00813679,1.0088
1.4643,0.470992
4.16463,1.42197
1.78748,0.499836
0.935162,0.216403
0.964218,0.977361
1.82525,0.934887
1.61123,0.272583
1.87162,0.542398
2.01461,0.670907
-2.50907,1.95523
2.05745,0.872029
0.603178,0.528167
1.54698,0.491463
1.81716,0.3014
0.58556,0.49778
1.08384,0.47076
1.35815,0.354095
1.61774,1.23535
2.84715,2.55333
2.25425,1.60947
1.37828,0.2222
1.33034,0.376753
3.89524,1.88401
-0.451757,1.60299
0.474704,1.47315
1.49977,0.132648
